timestamp,filename,category,jira,commit,status,notes
20260622130000,20260622130000_push_subscriptions.sql,A - Historical,TICK-214,fbf814e feat(TICK-214): browser push opt-in for waitlist offers,unknown,
20260622200000,20260622200000_notification_mutes.sql,A - Historical,TICK-206,7251b28 feat(TICK-206): notification type mute preferences + per-notification mute toggle,unknown,
20260622210000,20260622210000_waitlist_queue_position.sql,A - Historical,TICK-213,d07cef9 feat(TICK-213): show queue position and length on waitlist entries,unknown,
20260622220000,20260622220000_anon_user_cleanup.sql,A - Historical,TICK-79,150dcf6 feat(TICK-79): anonymous user hygiene cleanup cron job,unknown,
20260623120000,20260623120000_fn_seller_completed_resales.sql,A - Historical,TICK-192,5ea73b7 TICK-192/186: live orders KPIs + resale seller trust signals,unknown,
20260625120000,20260625120000_payment_method_rpcs.sql,A - Historical,,ede6076 feat(profile): build all profile-linked pages and functionality,unknown,
20260625130000,20260625130000_profile_locale.sql,A - Historical,,ede6076 feat(profile): build all profile-linked pages and functionality,unknown,
20260625140000,20260625140000_profile_avatar.sql,A - Historical,TICK-252,0f3be49 feat(profile): avatar upload (TICK-252),unknown,
20260625150000,20260625150000_fix_current_user_org_ids.sql,A - Historical,TICK-267,e2305af fix(rls): repair current_user_org_ids() to read org_members (TICK-267),unknown,
20260625160000,20260625160000_remove_dead_jwt_role_clauses.sql,A - Historical,TICK-269,e174dac fix(rls): remove dead auth.jwt() app-role clauses from 5 policies (TICK-269),unknown,
20260625170000,20260625170000_effective_roles_resolver.sql,A - Historical,TICK-266,c02dd64 feat(identity): effective-roles resolver as single source of truth (TICK-266),unknown,
20260625180000,20260625180000_retire_profiles_role.sql,A - Historical,TICK-268,d9367fc refactor(identity): retire profiles.role (TICK-268),unknown,
20260627100000,20260627100000_membership_invites.sql,A - Historical,TICK-273,daed66c feat(identity): invite-based membership via token (TICK-273),unknown,
20260627190000,20260627190000_finance_role_gating.sql,A - Historical,TICK-277,bf13b03 feat(rbac): in-workspace role gating + money-surface RLS (TICK-277 part 2),unknown,
20260628100000,20260628100000_guest_order_claim.sql,A - Historical,TICK-271,21d9207 feat(identity): guest order claim & merge on verified contact (TICK-271),unknown,
20260628110000,20260628110000_talent_self_create.sql,A - Historical,TICK-272,95d3a10 feat(onboarding): talent claim door + progressive onboarding (TICK-272),unknown,
20260628120000,20260628120000_rls_canonical_helpers.sql,A - Historical,TICK-278,a140095 feat(rls): canonical app.* helper family — TICK-278 Batch 0 (additive),unknown,
20260628130000,20260628130000_rls_canonical_money_tables.sql,A - Historical,TICK-278,5bda2d1 fix(rls): canonicalize money-table policies onto app.* helpers — TICK-278 Batch 1,unknown,
20260628140000,20260628140000_rls_canonical_org_event_core.sql,A - Historical,TICK-278,9e1920e fix(rls): canonicalize org/event core policies onto app.* helpers — TICK-278 Batch 2a,unknown,
20260628150000,20260628150000_rls_canonical_catalog_seating.sql,A - Historical,TICK-278,50b6cdb fix(rls): canonicalize catalog & seating policies onto app.* helpers — TICK-278 Batch 2b,unknown,
20260628160000,20260628160000_rls_canonical_orderitems_guestlist.sql,A - Historical,TICK-278,095491c fix(rls): canonicalize order_items & guestlist policies onto app.* helpers — TICK-278 Batch 2c,unknown,
20260628170000,20260628170000_rls_canonical_platform_admin.sql,A - Historical,TICK-278,de1c766 fix(rls): canonicalize platform-admin tables onto app.is_platform_admin — TICK-278 Batch 3,unknown,
20260628180000,20260628180000_rls_canonical_remaining_policies.sql,A - Historical,TICK-278,bd7481e fix(rls): canonicalize remaining helper-referencing policies — TICK-278 Batch 4a,unknown,
20260628190000,20260628190000_drop_legacy_rls_helpers.sql,A - Historical,TICK-278,"e164f13 refactor(rls): drop legacy helper family, finish app.* consolidation — TICK-278 Batch 4b",unknown,
20260714203000,20260714203000_tapband_telemetry_alerts.sql,A - Historical,TICK-300,c1d05ca TICK-300 add TapBand telemetry alert foundation (#236),unknown,
20260715071500,20260715071500_tapband_feature_config.sql,A - Historical,TICK-301,9fa44be TICK-301 add TapBand feature controls (#238),unknown,
20260715124500,20260715124500_tapband_config_outlet_scope.sql,A - Historical,TICK-301,6bc9a95 TICK-301 support outlet-scoped TapBand config (#239),unknown,
20260715170000,20260715170000_tapband_credential_schema.sql,A - Historical,TICK-287,3ff55e5 TICK-287 add TapBand credential schema (#240),unknown,
20260715183000,20260715183000_tapband_lifecycle_rpcs.sql,A - Historical,TICK-288,6d4d912 TICK-288 add TapBand lifecycle RPCs (#241),unknown,
20260715205000,20260715205000_tapband_scanner_checkin.sql,A - Historical,TICK-294,8b4f577 TICK-294 add TapBand scanner check-in,unknown,
20260716220000,20260716220000_tapband_multiple_entitlement_guard.sql,A - Historical,TICK-294,8b4f577 TICK-294 add TapBand scanner check-in,unknown,
20260721163000,20260721163000_claimed_account_guard.sql,A - Historical,TICK-338,1fbb8fc TICK-338 add canonical claimed-account database guard,unknown,
20260721190000,20260721190000_protect_claimed_account_rpcs.sql,A - Historical,TICK-338,80c2874 TICK-338 protect sensitive RPCs with claimed-account guard,unknown,
20260721210000,20260721210000_protect_claimed_account_operations.sql,A - Historical,TICK-338,f406ce3 TICK-338 protect operational RPCs,unknown,
20260721213000,20260721213000_finalize_claimed_account_controls.sql,A - Historical,TICK-338,7c6556a Finish TICK-338 RLS and admin controls,unknown,
20260722080000,20260722080000_pos_shifts_reconciliation.sql,A - Historical,TICK-347,d5fe4bd TICK-347 add POS shifts and reconciliation foundation,unknown,
20260723090000,20260723090000_pos_receipts_transactions.sql,A - Historical,TICK-348,fe421e8 TICK-348 add guarded POS receipts and shift transactions,unknown,
20260723100000,20260723100000_fix_rls_initplan_refunds_pos_shifts.sql,A - Historical,,f833ee3 Reconcile Supabase drift and fix advisor warnings,unknown,
20260723101000,20260723101000_index_unindexed_foreign_keys.sql,A - Historical,,f833ee3 Reconcile Supabase drift and fix advisor warnings,unknown,
20260723110000,20260723110000_fix_tapband_rpc_execute_grants.sql,A - Historical,,9d56abf Lock down TapBand lifecycle RPCs to service_role only,unknown,
20260724120000,20260724120000_unblock_scanner_checkin_path.sql,A - Historical,TICK-311,17c8b4b Unblock gate scanner check-in data path (TICK-311),unknown,
20260724130000,20260724130000_remove_broken_mint_on_payment_trigger.sql,A - Historical,,be53cf0 Remove broken mint-on-payment trigger blocking payment completion,unknown,
20260724140000,20260724140000_dedupe_updated_at_triggers.sql,A - Historical,TICK-181,4901d53 Remove duplicate updated_at triggers (TICK-181),unknown,
20260724150000,20260724150000_tick336_canonical_order_money_function.sql,A - Historical,TICK-336,"de965b8 Add canonical order-money calculator (TICK-336, 1/2)",unknown,
20260724160000,20260724160000_tick336_wire_canonical_calculator.sql,A - Historical,TICK-336,"b6a85db Wire order pricing to the canonical calculator (TICK-336, 2/2)",unknown,
20260725120000,20260725120000_cleanup_seeded_orgs_for_uat.sql,A - Historical,,"d7a8487 Remove seeded demo orgs and events, leaving EljayTunes for UAT",unknown,
20260725130000,20260725130000_fix_event_live_stats_recalc_on_event_delete.sql,A - Historical,,ad06060 Fix event deletion aborting on the event_live_stats recalc triggers,unknown,
20260725140000,20260725140000_close_anon_reprice_rpc_and_search_path.sql,A - Historical,,cce16b2 Close unauthenticated write path into orders via fn_apply_pricing_to_order,unknown,
20260725160000,20260725160000_lock_client_callable_completion_rpcs.sql,A - Historical,TICK-339,1cebcd2 Route every payment completion through verified provider evidence (TICK-339),unknown,
20260725170000,20260725170000_rpc_permission_matrix_exporter.sql,A - Historical,TICK-337,dc77172 Commit the RPC permission matrix and check it for drift in CI (TICK-337),unknown,
20260725180000,20260725180000_transactional_payment_completion.sql,A - Historical,TICK-333,f94e10b Make payment completion one transaction with a post-commit outbox (TICK-333),unknown,
20260725190000,20260725190000_align_notification_types_with_application.sql,A - Historical,TICK-333,f94e10b Make payment completion one transaction with a post-commit outbox (TICK-333),unknown,
20260725200000,20260725200000_seat_hold_expiry_and_oversell_recovery.sql,A - Historical,TICK-344,9d6cded Make displayed availability honest and expire abandoned checkouts (TICK-344),unknown,
20260725210000,20260725210000_fix_refund_execution_and_chargeback_clawback.sql,A - Historical,TICK-259,"464ce4a Make refunds execute, and claw back chargebacks (TICK-259, TICK-258)",unknown,
20260725220000,20260725220000_fix_app_role_text_comparison.sql,A - Historical,TICK-337,"09c9c08 Prove cross-org authorization, and fix two RPCs it found broken (TICK-337)",unknown,
20260725230000,20260725230000_uat_fixtures.sql,A - Historical,TICK-341,d7f0b87 Seed repeatable UAT lifecycle fixtures and personas (TICK-341),unknown,
20260727171416,20260727171416_capture_live_uat_rpc_helpers.sql,A - Historical,TICK-337,c86aaff TICK-337 capture live UAT RPC helpers,unknown,
20260727230509,20260727230509_fix_pos_shift_audit_actions.sql,A - Historical,TICK-348,16b4062 TICK-348 add POS receipt auth regression,unknown,
20260808125500,20260808125500_default_paystack_ticket_currency_to_zar.sql,A - Historical,,7e44182 Default Paystack ticket pricing to ZAR,unknown,
20260809022500,20260809022500_canonical_profile_identity_and_backfill.sql,A - Historical,TICK-365,952bde8 feat(TICK-365): canonicalize profile identity and backfill users,unknown,
20260809040000,20260809040000_add_public_profile_lookup.sql,A - Historical,,5fc05af Add supabase/migrations/20260809040000_add_public_profile_lookup.sql,unknown,
20260809174000,20260809174000_fix_atomic_scanner_checkin.sql,A - Historical,,04766f8 fix atomic scanner check-in,unknown,
20260809190000,20260809190000_separate_private_profile_data.sql,A - Historical,,fa56253 separate private profile data,unknown,
20260809203000,20260809203000_event_reminder_scheduling.sql,A - Historical,,07be023 Add event reminder scheduling,unknown,
20260811111500,20260811111500_refund_request_idempotency.sql,A - Historical,TICK-352,f3c7fb5 TICK-352: enforce buyer refund request idempotency,unknown,
20260811114500,20260811114500_record_duplicate_scan_attempts.sql,A - Historical,TICK-67,51de2b6 TICK-67: record duplicate scan attempts,unknown,
20260811123000,20260811123000_refund_reconciliation_pg_cron.sql,A - Historical,TICK-352,cc6fd2c TICK-352: schedule refund reconciliation fallback,unknown,
20260811133000,20260811133000_finance_reconciliation_issue_queue.sql,A - Historical,TICK-340,a437462 TICK-340 add persistent finance reconciliation queue,unknown,
20260811134500,20260811134500_finance_reconciliation_runbook_path.sql,A - Historical,TICK-340,2aaa0a1 TICK-340 point reconciliation queue to runbook,unknown,
20260811135000,20260811135000_reconciliation_status_rpc_grants.sql,A - Historical,TICK-340,4ea143e TICK-340 tighten reconciliation status RPC grant,unknown,
20260811190000,20260811190000_native_push_devices.sql,A - Historical,TICK-324,3c7bd01 TICK-324: native push device registry and mute-aware target lookup,unknown,
20260811213000,20260811213000_independent_uptime_watchdog.sql,A - Historical,TICK-262,77a210a TICK-262 add independent uptime watchdog,unknown,
20260812033500,20260812033500_fix_uat_fixture_currency.sql,A - Historical,TICK-341,d7f0b87 Seed repeatable UAT lifecycle fixtures and personas (TICK-341),unknown,
20260812180000,20260812180000_pricing_plan_effective_dating.sql,A - Historical,TICK-351,7864ff5 TICK-351: allow effective-dated pricing plan history,unknown,
20260812183000,20260812183000_pricing_plan_admin_version_rpc.sql,A - Historical,TICK-351,629715b TICK-351: add atomic admin pricing version RPC,unknown,
20260813082432,20260813082432_safe_payout_account_reencryption.sql,A - Historical,TICK-376,e1c307b TICK-376: add safe payout re-encryption path,unknown,
20260813150000,20260813150000_finance_reconciliation_operator_actions.sql,A - Historical,TICK-340,99ada16 TICK-340 add admin discrepancy workflow,unknown,
20260818182500,20260818182500_add_deltapay_payment_provider.sql,A - Historical,,e087589 feat(payments): allow DeltaPay provider settings,unknown,
20260820040200,20260820040200_tick386_contact_discovery.sql,A - Historical,,e84bdbb feat(friends): add privacy-safe contact matching,unknown,
20260820043000,20260820043000_tick386_private_contact_identity.sql,A - Historical,,765ccca fix(privacy): move contact identity out of public profiles,unknown,
20260905010000,20260905010000_tick395_add_deltapay_provider_settings.sql,B - Post-head,,unknown,unknown,
20260905020000,20260905020000_tick396_397_provider_policy_hierarchy.sql,B - Post-head,,unknown,unknown,
